Country Name,Year,Female Value
World,2020,2.015786307
World,2019,2.045237022
World,2018,2.089601636
World,2017,2.112608766
World,2016,2.159112974
World,2015,2.13767806
World,2014,2.208701871
World,2013,2.245553882
World,2012,2.306207841
World,2011,2.328765975
World,2010,2.36203016
World,2009,2.400612795
World,2008,2.241586349
World,2007,2.302564724
World,2006,2.326517036
World,2005,2.413629748
World,2004,2.532575842
World,2003,2.553788119
World,2002,2.626618481
World,2001,2.677088285
World,2000,2.638696296
World,1999,2.622789992
World,1998,2.672092472
World,1997,2.672693541
World,1996,2.742210848
World,1995,2.820508548
World,1994,2.848598865
World,1993,2.871968216
World,1992,2.773525089
World,1991,2.681766021
World,1990,2.596193615
Afghanistan,2019,1.27415204
Afghanistan,2018,1.43905348
Albania,2021,0.839892074
Albania,2020,0.628017318
Albania,2019,0.905798364
Albania,2018,1.044710838
Albania,2017,0.905178701
Albania,2016,1.183515165
Albania,2015,1.113664419
Albania,2014,0.834857818
Albania,2013,1.38994631
Albania,2012,1.803273288
Albania,2011,1.244159793
Albania,2010,0.756378939
Albania,2009,0.477982586
Albania,2008,1.286367819
Albania,2007,1.609187927
Albania,2006,1.525848538
Albania,2005,1.377765618
Albania,2004,1.232684833
Albania,2003,1.347514317
Albania,2002,2.476082
Albania,2001,2.451807831
Albania,2000,0.810257107
Albania,1999,4.022185136
Albania,1998,5.352008357
Albania,1997,10.83945119
Albania,1996,1.709849005
Albania,1995,1.585886102
Albania,1994,0.732063305
Albania,1993,0.977281265
Albania,1992,0.857218607
Algeria,2021,0.737982718
Algeria,2020,0.572265755
Algeria,2019,0.410531263
Algeria,2018,0.418198359
Algeria,2017,0.277568039
Algeria,2016,0.379113093
Algeria,2015,0.366150708
Algeria,2014,0.449797577
Algeria,2013,0.209345039
Algeria,2012,0.28470418
American Samoa,2019,0
American Samoa,2018,4.116920543
American Samoa,2017,4.038364462
American Samoa,2016,0
Andorra,2015,0
Andorra,2014,0
Andorra,2013,0
Andorra,2012,0
Andorra,2011,0
Andorra,2010,0
Andorra,2009,0
Andorra,2008,2.712710405
Andorra,2007,0
Antigua and Barbuda,2021,10.26514879
Antigua and Barbuda,2020,2.064899801
Antigua and Barbuda,2019,2.076605995
Antigua and Barbuda,2018,6.261740764
Antigua and Barbuda,2017,4.196523181
Antigua and Barbuda,2016,4.220477758
Antigua and Barbuda,2015,2.123705867
Antigua and Barbuda,2008,11.39380405
Antigua and Barbuda,2002,3.056683132
Antigua and Barbuda,2001,1.92597912
Antigua and Barbuda,1997,0
Antigua and Barbuda,1996,2.730226336
Antigua and Barbuda,1995,5.589871153
Antigua and Barbuda,1994,2.859307762
Antigua and Barbuda,1993,0
Antigua and Barbuda,1992,2.986233464
Antigua and Barbuda,1991,6.075980132
Antigua and Barbuda,1990,3.045623439
Argentina,2021,1.3472174
Argentina,2020,1.631555928
Argentina,2019,1.805937018
Argentina,2018,1.765757547
Argentina,2017,1.833784719
Argentina,2015,1.770782501
Armenia,2021,0.912364164
Armenia,2020,1.038895939
Armenia,2019,0.646899991
Armenia,2018,0.708962739
Armenia,2017,0.706532438
Armenia,2016,0.896592468
Armenia,2015,1.341454884
Armenia,2014,1.274875206
Armenia,2013,1.208503412
Armenia,2012,1.205172346
Armenia,2011,1.201464016
Armenia,2010,0.630031391
Armenia,2009,1.569122678
Armenia,2008,1.647612588
Armenia,2007,0.808759236
Armenia,2006,1.609338123
Armenia,2005,0.677711099
Armenia,2004,1.349854323
Armenia,2003,0.663445493
Armenia,2002,1.190926413
Armenia,2001,1.109468588
Armenia,2000,1.545974972
Armenia,1999,1.141565736
Armenia,1998,0.909019201
Armenia,1997,1.259337836
Armenia,1996,1.328539808
Armenia,1995,1.096748814
Armenia,1994,1.392821034
Armenia,1993,2.999404102
Armenia,1991,1.593753088
Armenia,1990,1.240795863
Aruba,2014,0
Aruba,2013,1.853465053
Aruba,2012,1.869875373
Aruba,2011,0
Aruba,2010,0
Aruba,2009,1.92605861
Aruba,2008,1.950382275
Aruba,2007,0
Aruba,2006,1.999380192
Aruba,2005,2.023717975
Aruba,2004,0
Aruba,2003,2.067226196
Aruba,2002,2.090672465
Aruba,2001,4.239264064
Aruba,1999,2.219731191
Aruba,1995,0
Aruba,1990,0
Australia,2021,0.375382838
Australia,2020,0.57223102
Australia,2019,0.532154205
Australia,2018,0.667244707
Australia,2017,0.508409866
Australia,2016,0.656380097
Australia,2015,0.708895783
Australia,2014,0.796339886
Australia,2013,0.809271218
Australia,2012,0.726894456
Australia,2011,0.801458369
Australia,2010,0.850072258
Australia,2009,0.700070736
Australia,2008,0.945901771
Australia,2007,0.814531004
Australia,2006,0.901576833
Australia,2005,0.929115803
Australia,2004,0.922172507
Australia,2003,0.97109928
Australia,2002,1.234778022
Australia,2001,1.196594594
Australia,2000,1.420056285
Australia,1999,1.305156277
Australia,1998,1.136705712
Australia,1997,1.314261266
Australia,1996,1.232984937
Australia,1995,1.545186212
Australia,1994,1.285044334
Australia,1993,1.33853037
Australia,1992,1.33508888
Australia,1991,1.650734767
Australia,1990,1.61469598
Austria,2021,0.88281288
Austria,2020,0.817693021
Austria,2019,0.886526493
Austria,2018,0.979364348
Austria,2017,0.827368362
Austria,2016,0.697567167
Austria,2015,0.3858364
Austria,2014,0.503629336
Austria,2013,0.668178055
Austria,2012,0.879855398
Austria,2011,0.813410112
Austria,2010,0.769143367
Austria,2009,0.657194515
Austria,2008,0.678895446
Austria,2007,0.568949053
Austria,2006,0.686159406
Austria,2005,0.571905993
Austria,2004,0.759436383
Austria,2003,0.559976459
Austria,2002,0.905412084
Austria,2001,1.008497767
Austria,2000,1.295243723
Austria,1999,0.769202039
Austria,1998,0.820702925
Austria,1997,0.905161484
Austria,1996,1.22710765
Austria,1995,0.92549596
Austria,1994,1.275642481
Austria,1993,0.847056756
Austria,1992,1.049979243
Austria,1991,1.160520922
Austria,1990,0.996013398
Azerbaijan,2021,1.320886625
Azerbaijan,2020,1.517109733
Azerbaijan,2019,1.157930643
Azerbaijan,2018,1.263578242
Azerbaijan,2017,1.488506623
Azerbaijan,2016,1.403163026
Azerbaijan,2015,1.438277088
Azerbaijan,2014,1.758128769
Azerbaijan,2013,1.431978661
Azerbaijan,2012,1.201454879
Azerbaijan,2011,1.573028806
Azerbaijan,2010,1.316129818
"Bahamas, The",2021,2.81851577
"Bahamas, The",2020,5.189523767
"Bahamas, The",2019,2.846023039
"Bahamas, The",2018,1.43368833
"Bahamas, The",2017,2.891162199
"Bahamas, The",2016,3.402418634
"Bahamas, The",2015,7.849158791
"Bahamas, The",2014,5.450360839
"Bahamas, The",2013,7.505892125
"Bahamas, The",2012,5.055368928
"Bahamas, The",2011,8.184268812
"Bahamas, The",2010,6.741532247
"Bahamas, The",2009,5.265860112
"Bahamas, The",2008,3.743916136
"Bahamas, The",2007,4.345688669
"Bahamas, The",2006,2.757829478
"Bahamas, The",2005,4.478581185
"Bahamas, The",2004,1.136069936
"Bahamas, The",2003,3.457894373
"Bahamas, The",2002,7.152946679
"Bahamas, The",2001,3.059373184
"Bahamas, The",2000,9.898212269
"Bahamas, The",1997,4.33021027
"Bahamas, The",1996,4.801429885
"Bahamas, The",1995,4.368576827
"Bahamas, The",1994,3.722027532
"Bahamas, The",1993,4.091694882
Bahrain,2021,0.180304932
Bahrain,2020,0
Bahrain,2019,0.178323368
Bahrain,2018,0
Bahrain,2017,0.183608532
Bahrain,2016,0.187745653
Bahrain,2015,0
Bahrain,2014,0
Bahrain,2013,0.210788137
Bahrain,2012,0.217620279
Bahrain,2011,0.218212923
Bahrain,2010,0.217559203
Barbados,2021,4.099312682
Barbados,2020,2.052474943
Barbados,2019,3.425666463
Barbados,2018,2.744387727
Barbados,2017,1.374169057
Barbados,2016,1.376325143
Barbados,2015,2.067917297
Barbados,2014,2.071479865
Barbados,2013,4.842229778
Barbados,2012,1.386169494
Barbados,2011,1.389009463
Barbados,2010,5.568335659
Barbados,2009,2.094994012
Barbados,2008,2.806387338
Barbados,2007,4.229864962
Barbados,2006,1.077455672
Barbados,2005,6.511169462
Barbados,2004,0.628295427
Barbados,2003,7.887594606
Barbados,2002,5.401687487
Barbados,2001,3.229840627
Barbados,2000,3.62852602
Barbados,1995,3.66684512
Barbados,1994,4.412251351
Barbados,1993,3.688798226
Barbados,1992,2.961120488
Barbados,1991,6.685410577
Barbados,1990,8.186198813
Belarus,2019,1.671059119
Belarus,2018,1.610662741
Belarus,2017,1.800579844
Belarus,2016,2.030660094
Belarus,2015,2.223990337
Belarus,2014,2.225691231
Belarus,2013,1.977005317
Belarus,2012,2.418319809
Belarus,2011,2.243865617
Belarus,2010,2.603780268
Belarus,2009,3.782906269
Belarus,2008,3.487178569
Belarus,2007,4.206462939
Belgium,2021,0.187183877
Belgium,2019,0.942961946
Belgium,2018,1.257409566
Belgium,2017,1.592423939
Belgium,2016,1.165817737
Belgium,2015,1.836772822
Belgium,2014,1.425869241
Belgium,2013,1.747960153
Belgium,2012,1.375536896
Belgium,2011,1.654273515
Belgium,2010,1.252644199
Belgium,2009,1.382657121
Belgium,2008,1.304093603
Belgium,2007,1.606671764
Belgium,2006,1.62508098
Belgium,2005,1.716884643
Belgium,2004,2.368412002
Belgium,2003,1.773497671
Belgium,2002,2.497124081
Belgium,2001,1.951835394
Belgium,2000,1.588748391
Belize,2021,5.533185279
Belize,2020,5.609082635
Belize,2019,8.801404083
