Country Name,Year,Male Values
World,2020,9.13447039
World,2019,9.02414373
World,2018,9.397937647
World,2017,9.637403925
World,2016,9.672854834
World,2015,9.623085264
World,2014,9.791319396
World,2013,9.754750957
World,2012,9.855921162
World,2011,9.775323081
World,2010,9.674480651
World,2009,9.671295333
World,2008,9.716300732
World,2007,9.66226995
World,2006,9.968702892
World,2005,10.1140954
World,2004,10.41533366
World,2003,10.84311643
World,2002,11.12332651
World,2001,11.14995152
World,2000,11.01105498
World,1999,10.76596007
World,1998,10.94720325
World,1997,11.01438519
World,1996,11.23830824
World,1995,11.59945735
World,1994,11.82427629
World,1993,11.84138814
World,1992,11.51479097
World,1991,11.18933995
World,1990,10.89543506
Afghanistan,2018,12.15626027
Afghanistan,2017,12.28287499
Afghanistan,2016,12.19002986
Afghanistan,2015,18.51164351
Albania,2021,3.786935773
Albania,2020,3.626809656
Albania,2019,3.614410516
Albania,2018,3.538695637
Albania,2017,3.118126048
Albania,2016,4.291655361
Albania,2015,3.320002601
Albania,2014,8.432801802
Albania,2013,7.181777345
Albania,2012,9.032174882
Albania,2011,8.528816912
Albania,2010,7.401812896
Albania,2009,5.320407925
Albania,2008,5.018099063
Albania,2007,5.45583869
Albania,2006,4.812740929
Albania,2005,8.817132019
Albania,2004,7.362262423
Albania,2003,9.448925625
Albania,2002,11.4305494
Albania,2001,11.58067218
Albania,2000,7.479756325
Albania,1999,29.33006243
Albania,1998,35.66499182
Albania,1997,71.3847217
Albania,1996,14.93487873
Albania,1995,14.16497761
Albania,1994,6.043040955
Albania,1993,10.51988996
Albania,1992,6.943820897
Algeria,2021,2.378069065
Algeria,2020,2.403661572
Algeria,2019,1.990172958
Algeria,2018,2.256279349
Algeria,2017,2.232684618
Algeria,2016,2.271808124
Algeria,2015,2.35705901
Algeria,2014,2.487979027
Algeria,2013,0.877596233
Algeria,2012,1.026532415
American Samoa,2019,0
American Samoa,2018,49.72238336
American Samoa,2017,24.29100625
American Samoa,2016,0
Andorra,2020,5.048528985
Andorra,2015,0
Andorra,2014,0
Andorra,2013,0
Andorra,2012,0
Andorra,2011,2.803279837
Andorra,2010,0
Andorra,2009,0
Andorra,2008,0
Andorra,2007,0
Antigua and Barbuda,2021,24.71299229
Antigua and Barbuda,2020,18.08502221
Antigua and Barbuda,2019,4.549487045
Antigua and Barbuda,2018,20.58766341
Antigua and Barbuda,2017,41.41691881
Antigua and Barbuda,2016,16.21252302
Antigua and Barbuda,2015,9.334235643
Antigua and Barbuda,2008,27.94183019
Antigua and Barbuda,2002,10.33029393
Antigua and Barbuda,2001,17.36522954
Antigua and Barbuda,1997,2.964280421
Antigua and Barbuda,1996,6.029362998
Antigua and Barbuda,1995,15.32848953
Antigua and Barbuda,1994,12.46164151
Antigua and Barbuda,1993,12.64942129
Antigua and Barbuda,1992,3.208007186
Antigua and Barbuda,1991,3.255473264
Antigua and Barbuda,1990,0
Argentina,2021,7.96347331
Argentina,2020,9.167151915
Argentina,2019,8.554003296
Argentina,2018,9.041722501
Argentina,2017,8.754652514
Argentina,2015,11.44735684
Armenia,2021,3.74055361
Armenia,2020,2.84469843
Armenia,2019,4.942077673
Armenia,2018,3.035032446
Armenia,2017,4.555901881
Armenia,2016,5.28992021
Armenia,2015,4.112311805
Armenia,2014,3.935969348
Armenia,2013,3.310281735
Armenia,2012,3.438267771
Armenia,2011,3.858791961
Armenia,2010,3.384666211
Armenia,2009,5.251451534
Armenia,2008,5.105582889
Armenia,2007,4.581270121
Armenia,2006,3.756426235
Armenia,2005,3.300247764
Armenia,2004,4.248089839
Armenia,2003,4.49998616
Armenia,2002,3.382891444
Armenia,2001,4.713851893
Armenia,2000,4.353943315
Armenia,1999,4.662622305
Armenia,1998,5.047493659
Armenia,1997,5.047377424
Armenia,1996,5.804780141
Armenia,1995,6.127271999
Armenia,1994,8.22370823
Armenia,1993,12.90943085
Armenia,1991,8.926263204
Armenia,1990,9.02773728
Aruba,2014,4.065784391
Aruba,2013,10.21930631
Aruba,2012,6.168777759
Aruba,2011,4.14014387
Aruba,2010,8.358146581
Aruba,2009,6.343500555
Aruba,2008,8.560910881
Aruba,2007,6.500471284
Aruba,2006,8.773661468
Aruba,2005,11.09410016
Aruba,2004,4.478029667
Aruba,2003,6.767884134
Aruba,2002,9.101354964
Aruba,2001,4.59638035
Aruba,1999,2.391400524
Aruba,1995,16.07480141
Aruba,1990,0
Australia,2021,1.09576279
Australia,2020,1.177559438
Australia,2019,1.240170161
Australia,2018,1.089575582
Australia,2017,1.180448187
Australia,2016,1.224220427
Australia,2015,1.276442057
Australia,2014,1.277262427
Australia,2013,1.313455504
Australia,2012,1.414573466
Australia,2011,1.419905001
Australia,2010,1.249853462
Australia,2009,1.732866295
Australia,2008,1.513684918
Australia,2007,1.638638594
Australia,2006,1.850559302
Australia,2005,1.643829858
Australia,2004,1.723523149
Australia,2003,2.103446568
Australia,2002,2.533532672
Australia,2001,2.418295289
Australia,2000,2.394177626
Australia,1999,2.801046454
Australia,1998,2.463203476
Australia,1997,2.648180328
Australia,1996,2.662370814
Australia,1995,2.413969591
Australia,1994,2.314011421
Australia,1993,2.443378443
Australia,1992,2.11517532
Australia,1991,2.288495264
Australia,1990,2.775979893
Austria,2021,0.569332063
Austria,2020,0.638853495
Austria,2019,0.847079681
Austria,2018,0.966005241
Austria,2017,0.762920139
Austria,2016,0.535822033
Austria,2015,0.637332306
Austria,2014,0.478723894
Austria,2013,0.773062913
Austria,2012,1.0460391
Austria,2011,1.027315085
Austria,2010,0.687565127
Austria,2009,0.562909238
Austria,2008,0.716140094
Austria,2007,0.514617545
Austria,2006,0.792330818
Austria,2005,0.745667141
Austria,2004,0.682447597
Austria,2003,0.674916635
Austria,2002,0.697403252
Austria,2001,0.723901867
Austria,2000,0.733729623
Austria,1999,0.731141368
Austria,1998,1.120350228
Austria,1997,0.746155409
Austria,1996,1.262165616
Austria,1995,1.041523162
Austria,1994,0.929898415
Austria,1993,1.18955007
Austria,1992,1.439214764
Austria,1991,1.509695967
Austria,1990,1.336609016
Azerbaijan,2021,2.515116242
Azerbaijan,2020,2.973798472
Azerbaijan,2019,2.138150031
Azerbaijan,2018,2.635572239
Azerbaijan,2017,2.134609911
Azerbaijan,2016,1.993388662
Azerbaijan,2015,2.861559894
Azerbaijan,2014,3.108416455
Azerbaijan,2013,3.19499803
Azerbaijan,2012,3.091392179
Azerbaijan,2011,2.962225633
Azerbaijan,2010,3.181321402
"Bahamas, The",2021,57.94054685
"Bahamas, The",2020,31.87562337
"Bahamas, The",2019,45.93868476
"Bahamas, The",2018,45.67726933
"Bahamas, The",2017,60.57725951
"Bahamas, The",2016,54.66764438
"Bahamas, The",2015,68.83624387
"Bahamas, The",2014,59.26020837
"Bahamas, The",2013,54.89567131
"Bahamas, The",2012,54.27364228
"Bahamas, The",2011,60.83758557
"Bahamas, The",2010,44.8908902
"Bahamas, The",2009,43.22103349
"Bahamas, The",2008,37.53732404
"Bahamas, The",2007,40.32815597
"Bahamas, The",2006,32.6792618
"Bahamas, The",2005,26.00841727
"Bahamas, The",2004,25.14307608
"Bahamas, The",2003,26.67078852
"Bahamas, The",2002,24.40308555
"Bahamas, The",2001,23.50836212
"Bahamas, The",2000,36.22614486
"Bahamas, The",1997,25.76350641
"Bahamas, The",1996,29.12321502
"Bahamas, The",1995,22.68360678
"Bahamas, The",1994,32.17313701
"Bahamas, The",1993,20.49093453
Bahrain,2021,0
Bahrain,2020,0
Bahrain,2019,0.321402343
Bahrain,2018,0.53648414
Bahrain,2017,0.548127214
Bahrain,2016,0.342065311
Bahrain,2015,0.35642174
Bahrain,2014,1.110146243
Bahrain,2013,1.270223547
Bahrain,2012,1.045173032
Bahrain,2011,1.459255594
Bahrain,2010,0.132626083
Barbados,2021,19.28304168
Barbados,2020,28.24690771
Barbados,2019,32.03635754
Barbados,2018,17.9189392
Barbados,2017,20.95110536
Barbados,2016,14.99986875
Barbados,2015,21.05112793
Barbados,2014,16.58262292
Barbados,2013,12.84924435
Barbados,2012,15.1612781
Barbados,2011,19.01155142
Barbados,2010,17.55169164
Barbados,2009,12.25180523
Barbados,2008,14.60375778
Barbados,2007,14.66100289
Barbados,2006,25.91377176
Barbados,2005,15.40201297
Barbados,2004,16.44302748
Barbados,2003,17.18219768
Barbados,2002,13.71371254
Barbados,2001,16.14995245
Barbados,2000,11.82405802
Barbados,1995,9.527855081
Barbados,1994,11.13528174
Barbados,1993,12.75408529
Barbados,1992,14.385212
Barbados,1991,9.616887254
Barbados,1990,18.47456334
Belarus,2019,3.088843188
Belarus,2018,3.169410104
Belarus,2017,3.253601163
Belarus,2016,4.478477407
Belarus,2015,4.682525861
Belarus,2014,4.997907684
Belarus,2013,5.132511975
Belarus,2012,4.773035472
Belarus,2011,5.698049453
Belarus,2010,5.878109742
Belarus,2009,6.388665402
Belarus,2008,8.127698702
Belarus,2007,9.375188366
Belgium,2021,1.987847971
Belgium,2019,1.602710024
Belgium,2018,2.073361924
Belgium,2017,1.890449015
Belgium,2016,1.9210754
Belgium,2015,2.277757938
Belgium,2014,2.347790277
Belgium,2013,1.948225405
Belgium,2012,2.359375853
Belgium,2011,2.263949021
Belgium,2010,2.241589857
Belgium,2009,2.131866029
Belgium,2008,2.505304125
Belgium,2007,2.370200759
Belgium,2006,2.571283925
Belgium,2005,2.502499873
Belgium,2004,2.766264408
Belgium,2003,2.667803416
Belgium,2002,3.689782562
Belgium,2001,3.554054101
Belgium,2000,2.563481528
Belize,2021,56.65145194
Belize,2020,45.77234546
Belize,2019,59.71093782
Belize,2018,64.46280132
Belize,2017,69.46377676
Belize,2016,66.5591619
Belize,2015,60.78506677
Belize,2014,62.69008226
Belize,2013,51.42502203
Belize,2012,77.48224119
Belize,2011,67.82555509
Belize,2010,70.00911747
Belize,2009,55.96291185
Belize,2004,47.45703313
Bermuda,2019,0
Bermuda,2017,16.28478838
Bermuda,2016,26.10454872
Bermuda,2015,13.02740641
Bermuda,2014,9.739469199
Bermuda,2013,16.1922342
Bermuda,2012,19.41056582
Bermuda,2011,19.41904685
Bermuda,2010,22.68529021
Bermuda,2009,16.22823388
Bermuda,2005,6.523689146
Bermuda,2004,0
Bermuda,1996,10.2383837
Bermuda,1992,0
Bermuda,1991,10.52299274
Bermuda,1990,3.527772388
Bhutan,2020,3.41957585
Bhutan,2019,1.473828491
Bhutan,2018,1.729977671
Bhutan,2017,2.239700179
Bhutan,2016,1.254281805
Bhutan,2015,2.530454014
Bolivia,2021,3.763278555
Bolivia,2020,3.905027397
Bolivia,2019,4.834024365
Bolivia,2018,5.760605193
Bolivia,2017,8.367349974
Bolivia,2016,7.009529164
Bolivia,2015,5.987156116
Bolivia,2008,13.86570453
Bosnia and Herzegovina,2021,1.552633499
Bosnia and Herzegovina,2020,2.327212866
Bosnia and Herzegovina,2019,1.936455222
Bosnia and Herzegovina,2018,1.856024581
Bosnia and Herzegovina,2017,1.895708767
Bosnia and Herzegovina,2016,1.758428293
Bosnia and Herzegovina,2015,2.260977699
Bosnia and Herzegovina,2014,2.23466184
Bosnia and Herzegovina,2013,1.812365258
Bosnia and Herzegovina,2012,2.1757219
Bosnia and Herzegovina,2011,1.916592627
Bosnia and Herzegovina,2010,2.474099273
Bosnia and Herzegovina,2009,2.96012109
Bosnia and Herzegovina,2002,3.172619803
Bosnia and Herzegovina,2001,2.589812752
Bosnia and Herzegovina,2000,3.875067814
Bosnia and Herzegovina,1990,2.559047783
Brazil,2020,41.7830669
Brazil,2019,38.67468144
Brazil,2018,49.66791512
Brazil,2017,57.27962543
Brazil,2016,55.469658
Brazil,2015,52.93306968
Brazil,2014,54.68473181
Brazil,2013,52.31019808
Brazil,2012,52.36235562
Brazil,2011,48.78372574
Brazil,2010,49.35292553
Brazil,2009,49.12761147
Brazil,2008,48.434802
Brazil,2007,46.62764714
Brazil,2006,48.34971499
Brazil,2005,47.33116049
Brazil,2004,48.77683849
Brazil,2003,52.15093747
Brazil,2002,51.27118055
Brazil,2001,49.92677474
